SQLDATEE,Count,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
20161128,935,0.768785815,7.931465252,1.031212121,7.756053225,-1.199366979
20161129,1026,1.156036236,7.757711442,1.027349659,7.500233568,-1.007517804
20161130,1103,1.226814699,8.348239037,1.072680568,8.104937809,-1.198632507
20161201,1082,1.003275542,8.333303047,1.091729014,8.063382559,-1.221093707
20161202,1100,0.888580875,8.250665309,1.067878788,7.966318661,-1.581759561
20161203,747,0.99635465,7.957538919,1.04470262,7.744227955,-1.305443192
20161204,608,1.06292473,8.129176982,1.024808114,7.888824799,-1.429414172
20161205,847,0.971428551,8.07729268,1.035655254,7.838113402,-1.29212906
20161206,1026,0.790915273,8.247189983,1.040498623,8.068076779,-1.48692762
20161207,1096,0.803769087,8.392466169,1.056751825,8.198203907,-1.540142934
20161208,962,1.113509248,8.640515904,1.053049203,8.42883318,-1.338542279
20161209,963,1.075977298,7.989741166,1.06763586,7.750351872,-1.681054175
20161210,762,0.647180417,8.213540659,1.043963255,7.959378278,-1.499490347
20161211,683,0.775860922,8.258004854,1.026232308,7.976404073,-1.274206631
20161212,1003,0.951705302,8.225344867,1.044034563,7.939112001,-1.240789881
20161213,1201,1.018843561,8.76015878,1.080641132,8.448824892,-1.266779479
20161214,1353,1.028698423,8.231813072,1.065589375,7.982138787,-1.182370727
20161215,1450,0.720241097,7.738426488,1.073609195,7.429849464,-1.42591853
20161216,1282,0.638601771,9.083840634,1.060699428,8.748656303,-1.156608293
20161217,996,1.03914928,7.720744321,1.051121151,7.554667876,-0.813441726
20161218,647,1.114546451,7.904436372,1.020092736,7.703522999,-0.853408575
20161219,902,0.935270649,8.402424017,1.053892584,8.161085869,-1.202990848
20161220,1086,1.100638391,8.243383984,1.049109883,7.878311888,-1.362732466
20161221,1160,1.22330022,8.247884975,1.034638594,7.974122263,-1.122390648
20161222,1138,0.620109697,8.398390358,1.058267777,8.148140211,-1.400792662
20161223,1044,0.945675783,8.271768773,1.044963282,8.055536942,-1.560946275
20161224,717,0.915818004,8.697893357,1.010460251,8.274528507,-1.289767693
20161225,468,0.776719654,7.782375649,1.023326211,7.516899459,-1.277685869
20161226,857,1.161204451,8.85827636,1.058315275,8.588890722,-1.394773281
20161227,1126,0.502694363,8.789401567,1.077190645,8.455297444,-2.215351888
20161228,1142,-0.116918291,9.006292131,1.050014594,8.605704538,-2.772664647
20161229,1149,0.030861995,8.443530008,1.06899167,8.186739341,-2.573613596
